stage,name,camber,camber_pos,thickness,fall_time_s,impact_speed_m_s,max_rpm,rotor_mass_g,radius_m,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,pitch_collective_deg,score,status
coarse,naca0408,0.0,0.4,0.08,5.409999999999929,3.0477514177988962,462.82552878130355,25.31,0.3664956413945814,0.0917767367432382,0.025679453297338086,7.000495436964947,-2.8262651512807038,0.531590688795131,-5.409999999999929,Solve_Succeeded
coarse,naca0412,0.0,0.4,0.12,5.269999999999932,3.292915350574244,455.98586559283115,27.72,0.38801445874565754,0.09918298583066007,0.018682147777620617,6.90610627976893,-2.6780702967549685,0.9089841128256315,-5.269999999999932,Solve_Succeeded
coarse,naca0508,0.0,0.5,0.08,5.409999999999929,3.0477514177988962,462.82552878130355,25.31,0.3664956413945814,0.0917767367432382,0.025679453297338086,7.000495436964947,-2.8262651512807038,0.531590688795131,-5.409999999999929,Solve_Succeeded
coarse,naca0512,0.0,0.5,0.12,5.269999999999932,3.292915350574244,455.98586559283115,27.72,0.38801445874565754,0.09918298583066007,0.018682147777620617,6.90610627976893,-2.6780702967549685,0.9089841128256315,-5.269999999999932,Solve_Succeeded
coarse,naca2408,0.02,0.4,0.08,12.979999999999768,0.9452120992601913,702.239721995806,24.5,0.3764586545144893,0.0944074530003549,0.016029808685852714,7.440471592218185,-3.2461480826441957,0.7994566734729887,-12.979999999999768,Solve_Succeeded
coarse,naca2412,0.02,0.4,0.12,10.269999999999825,1.5639927391188833,828.5100738146591,29.38,0.3202994703788381,0.0904587390641743,0.06361133715810596,13.327268033725861,-0.7397871144215091,2.555696322139398,-10.269999999999825,Solve_Succeeded
coarse,naca2508,0.02,0.5,0.08,10.829999999999814,1.3878981661755248,902.6989584217896,23.02,0.2863707786503892,0.08578667270193424,0.05442584664151152,13.84507636544806,-1.8374872754605902,1.8056473015531687,-10.829999999999814,Solve_Succeeded
coarse,naca2512,0.02,0.5,0.12,11.219999999999805,1.3135849909375592,945.3764376237283,23.73,0.2847461379731189,0.08644608864939002,0.05534744319548812,12.991757675685708,-1.9041568800623647,1.7062866333083382,-11.219999999999805,Solve_Succeeded
coarse,naca4408,0.04,0.4,0.08,11.769999999999794,1.1327276816465273,1081.0651263008642,17.6,0.29165207613982036,0.07388527459385491,0.031165896465543703,9.328030123101321,-1.3068748762537374,0.5667228610896172,-11.769999999999794,Solve_Succeeded
coarse,naca4412,0.04,0.4,0.12,7.23999999999989,2.2587066072524618,1241.3693299845884,18.5,0.2829028248747119,0.09300253436474207,0.018362063649910502,12.582559871961749,-1.0614457007454796,2.0730657905198004,-7.23999999999989,Maximum_Iterations_Exceeded
coarse,naca4508,0.04,0.5,0.08,9.069999999999851,1.6806990323647362,1182.5577198305512,17.92,0.24605247589735188,0.07696477294798068,0.05253878929995917,22.953221760850315,-2.5842533257693505,1.4518160105957576,-9.069999999999851,Solve_Succeeded
coarse,naca4512,0.04,0.5,0.12,13.299999999999761,1.1500934808885492,819.3988140667227,27.44,0.3433247823852202,0.09997666020567349,0.03333799683902807,6.557312651192222,0.5507097176662717,0.41354735308626905,-13.299999999999761,Restoration_Failed
refine,naca4512,0.04,0.5,0.12,9.229999999999848,1.6925471410447814,1343.1204267711726,16.23,0.24319787646397986,0.05968930281058509,0.05622015924792441,6.605543152365089,3.0678148296274634,1.2014280958712091,-9.229999999999848,Solve_Succeeded
refine,naca2408,0.02,0.4,0.08,11.279999999999804,1.2690561038329096,964.3747783399291,21.39,0.2695685949521363,0.08605326600982233,0.05336165672049727,12.012564242330035,-1.7934034213872823,1.7040648761178723,-11.279999999999804,Solve_Succeeded
refine,naca4408,0.04,0.4,0.08,4.259999999999954,4.515169882721516,569.5838961635075,19.16,0.215540304092228,0.09320989482031415,0.06808549907220364,7.66100924417206,-3.8800783446792986,0.12670810557166495,-4.259999999999954,Solve_Succeeded
